tree_hash,commith_hash,changed,insert,delete

731c334a817ab35a910dc9bf0f6b30f8d3ce0b93,6029e211c63895c44a942bacc32c6d2f565cc3e3,   1 file changed, 1 insertion(+), 1 deletion(-) 
a3894096a4859ffe92043d0a10c5230b082a1203,173f16f736c10eae46cd15dd861b04b82d91a37a,   3 files changed, 27 insertions(+), 1 deletion(-) 
7e3caab12367ee7d3be8b2f33b5bb1c0ecec9c95,5015209054f68141cd4f5f61e874d4497d4ef49c,   4 files changed, 65 insertions(+), 18 deletions(-) 
8b672ecbcc021bf13e50538139b46f3e591914ef,4617dd64b863df111e33b1b395709f4c2f427350,   1 file changed, 11 insertions(+) 
d32891a6d32d0e6f8fb03fa012c9d34510dbd16d,82840d165144584d1b288521266051a6b5a462eb,   2 files changed, 19 insertions(+), 25 deletions(-) 
846be8307c7be74b58919244c3fe41060d91793a,fabe28259f4e191fee660a240ba347a0a8d2f1dc,   2 files changed, 48 deletions(-) 
74dd30fea130db4c9b244f09ce939804bd8dcded,3c660ef59b545bf76f2fb2b6a37ca02bcae4b2fb,   1 file changed, 2 insertions(+) 
614a998fe5b712737a86c0421ae0ba40ebd95c26,d96d60d2e0a41a4e01163f7e5d1835e028f94b72,   3 files changed, 45 insertions(+), 6 deletions(-) 
eb5a1441ea1322737ff762d81b9193b13e242ea9,317223cb56f70f3fc2eb646a78a8f0161cafa70b,   1 file changed, 1 insertion(+), 1 deletion(-) 
a44aa50c82c58cf7cf90084e7e32b982be521411,204f944add09c43223de317451175d5fdb7d1fb0,   1 file changed, 3 insertions(+), 3 deletions(-) 
96c445da24f0bd21cd65e2b7e398f780efa89884,60a5a6f0d37b2e10d8d4aab97b64f4048e99c99a,   1 file changed, 4 insertions(+), 5 deletions(-) 
8cf7c4932bb8ba36329a3295423386289d32c02b,130a3ec5010227ca93498a1eb3a182062daeb349,   1 file changed, 1 insertion(+) 
de6045ed738551e1ba548a25a304e4d4f062c8aa,c7de65228f798c3c5391370fcd2d10032aa6eaf8,   10 files changed, 331 insertions(+), 90 deletions(-) 
19cf5e3e00743b712d65d31e29dadfc1930869aa,a6bce8c2274c971d4d61b78e002857d1ec69a901,   1 file changed, 12 insertions(+), 9 deletions(-) 
b71229d98bdc04e6224cd9d9a420275f64bee984,4faa84085379346fa1cf322907a1f9b6a7fbd583,   9 files changed, 39 insertions(+), 55 deletions(-) 
e95b7e870bb3c0abc3370d1477eedbcd13b95b17,f02e2a734ef472f0dcf83ab2e8ce96d1acead8a5,   1 file changed, 2 insertions(+) 
6869e939b45905b45b51b511c2a5a398ff92652a,7b9920aad80299d79f4dba08de36693804f8751c,   1 file changed, 14 insertions(+), 11 deletions(-) 
c1177624c6fe78e4b1397c6c4c02f00058463e42,ead9ab09255042559c5568cb5959a487fbef2fab,   1 file changed, 2 insertions(+), 2 deletions(-) 
8fa8dbe98ba7e774d5c33be34141ef32145c3019,a64190933e06758d50eea926e6a55974645096fd,   1 file changed, 1 insertion(+) 
735854b03c3d16615300dae41cb6a122859b16b7,95d97aedb982b4195a002eadf1d4360bbc10f8d7,   1 file changed, 43 insertions(+) 
9e0f7e85a17787c7390a65764dc544f2ef738b26,eb52de83114e8d98722cd17ec8435c47956b6315,   2 files changed, 2 insertions(+), 2 deletions(-) 
a148c61f09f6f35f7421d35346a95281cb1e4eaa,497acbd0ed4b3f289bde11de207efb0abd1f6fa6,   1 file changed, 30 insertions(+) 
0dddf15a4e9c9d31cb66677ea7f8746e9402f4c7,d9996d6f27150bfb9c9c00d77fac940712aa1d28,   10 files changed, 46 insertions(+), 1 deletion(-) 
